name,url,alexa,baidu_s,baidu_pr,baidu_fl,rank,score
百度,www.baidu.com,4,9,9,345762,1,4999
腾讯网,qq.com,8,9,8,858338,2,4950
搜狐,sohu.com,14,9,8,282447,3,4950
新浪网,sina.com.cn,18,9,8,410215,4,4949
爱奇艺,iqiyi.com,319,9,7,29069,5,4947
搜狐视频,tv.sohu.com,14,9,7,28723,6,4946
知乎,zhihu.com,153,9,6,22125,7,4946
人民网,people.com.cn,310,9,9,91931,8,4944
腾讯视频,v.qq.com,8,9,7,15095,9,4943
优酷网,youku.com,1692,9,8,78984,10,4943
4399小游戏,4399.com,1027,9,6,39405,11,4942
豆瓣,douban.com,1446,9,7,48989,31,4735
中关村在线,zol.com.cn,1507,9,8,75464,12,4941
海词词典,dict.cn,2773,9,7,44551,32,4732
搜狗,sogou.com,181,9,8,124176,13,4937
网易,163.com,644,9,8,353878,14,4931
太平洋亲子网,pcbaby.com.cn,2593,9,7,4029,33,4731
凤凰网,ifeng.com,1308,9,8,144501,15,4922
搜房网房天下,fang.com,3096,9,3,5949146,34,4728
Hao123,hao123.com,55,9,8,52921,16,4915
360doc个人图书馆,360doc.com,1471,9,5,1163,35,4727
东方财富网,eastmoney.com,5190,9,7,48592,17,4909
央视网,cntv.cn,5089,9,8,75036,36,4726
汽车之家,autohome.com.cn,13064,9,7,39074,18,4893
站长之家,chinaz.com,831,9,7,40491,37,4707
好搜,so.com,86,9,6,10096,19,4855
有问必答网,120ask.com,14145,9,6,5860,38,4704
淘宝网,taobao.com,10,9,7,670928,20,4768
39健康网,39.net,8985,9,7,29026,39,4700
中国青年网,youth.cn,140,8,8,17845,211,4203
京东商城,jd.com,19,9,7,85801,21,4768
天气网,tianqi.com,10918,9,7,15963,40,4699
美团,meituan.com,1983,8,6,52679,212,4202
新浪微博,weibo.com,20,9,9,526748,22,4768
虎扑体育,hupu.com,6569,9,7,31399,41,4699
千图网,58pic.com,4356,8,4,723,213,4201
58同城 ,58.com,604,9,7,129131,23,4765
豆瓣电影,movie.douban.com,1446,9,6,2248,42,4694
易车网,bitauto.com,390,9,7,77851,24,4764
新东方,xdf.cn,2778,8,7,19252,214,4201
中学语文教学资源网,ruiwen.com,9325,9,5,982,43,4692
起点中文网,qidian.com,3007,9,7,33928,25,4761
163网易免费邮,mail.163.com,644,8,7,29614,215,4198
2345网址导航,2345.com,9021,9,6,32431,44,4684
慧聪网,hc360.com,3808,8,6,78905,216,4198
互动百科,baike.com,641,9,7,24590,26,4760
迅雷看看,xunlei.com,1496,8,7,16061,217,4196
苹果官方网站,apple.com,72,9,9,86572,45,4667
哔哩哔哩弹幕视频网,bilibili.com,255,9,6,2380,27,4759
中国银行官网,www.boc.cn,1718,8,8,44094,218,4195
妈妈网,mama.cn,210,9,6,9585,46,4665
携程旅行网,ctrip.com,4609,9,7,63352,28,4742
爱站网,aizhan.com,4250,8,5,52448,219,4194
古诗文网,gushiwen.org,7323,9,5,117,47,4663
赶集网,ganji.com,4270,9,7,86118,29,4740
金融界,jrj.com.cn,452,7,7,13769,220,4193
新浪博客,blog.sina.com.cn,18,9,7,50529,48,4661
百度视频,v.baidu.com,4,9,8,11697,91,4401
阿里巴巴1688,1688.com,144,9,7,5062021,30,4738
谷歌翻译,translate.google.cn,175,8,7,2580,221,4192
太平洋女性网,pclady.com.cn,13935,9,6,32000,49,4650
东方网,eastday.com,222,8,8,27526,92,4400
二手车之家,che168.com,7346,8,6,2314,222,4192
东方财富网股吧,guba.eastmoney.com,5190,9,6,1013,50,4649
中国网,china.com.cn,197,8,8,116517,93,4400
中彩网,zhcw.com,4287,9,7,17480,51,4627
新浪新闻,news.sina.com.cn,18,8,8,15790,223,4189
有道,youdao.com,329,8,6,19522,94,4398
太平洋电脑网,pconline.com.cn,29253,9,7,67112,52,4624
喜马拉雅FM,ximalaya.com,2675,8,4,1242,224,4188
下厨房,xiachufang.com,3363,9,6,794,53,4618
央视网视频,tv.cntv.cn,5089,9,7,2524,95,4395
爆米花网,baomihua.com,37673,8,6,6283,225,4188
晋江文学城,jjwxc.net,1521,8,6,2772,96,4394
中国天气网,weather.com.cn,13013,9,7,21156,54,4618
买购网,maigoo.com,16362,8,5,1642,226,4187
快递100,kuaidi100.com,4360,9,6,9662,55,4617
支付宝,alipay.com,38,8,7,210512,97,4393
MBA智库百科,wiki.mbalib.com,3946,8,6,282,227,4186
百度翻译,fanyi.baidu.com,4,9,6,1522,98,4387
500彩票网,500.com,8974,9,6,2924,56,4614
美食杰,meishij.net,7807,9,6,967,61,4589
游民星空,gamersky.com,2034,8,6,1455,99,4387
天极网,yesky.com,979,8,7,29563,228,4186
好大夫在线,haodf.com,12125,9,7,4400,57,4612
沪江小D,dict.hjenglish.com,1588,8,6,761,229,4184
太平洋亲子网亲子百科,baike.pcbaby.com.cn,2593,9,5,711,58,4609
Mtime时光网,mtime.com,2597,8,6,2884,100,4387
逗游网,doyo.cn,10280,9,6,1245,62,4586
新东方在线,koolearn.com,5475,8,7,10811,230,4184
作业帮,www.zybang.com,10135,9,0,1,101,4378
